Image,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N,...1,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women
I556,Nude man 17,Person,Wikipedia,3.72277227722772,1.43609757245939,101,3.48543689320388,2.05256452536392,103,I556,3.25862069,1.250408282,58,4.348837209,1.445579813,43,2.979591837,2.193644189,49,3.924528302,1.827661985,53
I736,Shark 11,Animal,Wikipedia,3.71287128712871,1.13434239683939,101,4.35922330097087,1.6261006464524,103,I736,3.689655172,1.127127953,58,3.744186047,1.156617055,43,4.408163265,1.657286529,49,4.301886792,1.624155469,53
I764,Sleepy pose 3,Person,Flickr/Kevin,3.70588235294118,0.990931507899948,102,2.35643564356436,1.40416636062713,101,I764,3.818181818,0.869983354,44,3.620689655,1.073240481,58,2.276595745,1.455157659,47,2.423076923,1.362612166,52
I802,Storage 3,Object,Pixabay,3.70588235294118,1.13963895007023,102,2.55445544554455,1.50648762042542,101,I802,3.886363636,1.039138934,44,3.568965517,1.201053178,58,2.659574468,1.433702955,47,2.442307692,1.589345179,52
I94,Boxing 2,Person,Pixabay,3.69607843137255,1.05106467178888,102,4.1980198019802,1.51009802317729,101,I94,3.777777778,1.241130146,45,3.625,0.885489079,56,4.306122449,1.502831794,49,4.096153846,1.524436449,52
I739,Shot 2,Person,Pixabay,3.69607843137255,1.26482664789811,102,4.11881188118812,1.53809706269059,101,I739,3.886363636,1.165709866,44,3.551724138,1.326814068,58,4.021276596,1.481617238,47,4.307692308,1.528018858,52
I246,Doctor 5,Person,Pixabay,3.6831683168316798,1.05764543273544,101,3.64077669902913,1.73688005688383,103,I246,3.793103448,1.055621887,58,3.534883721,1.054442692,43,3.571428571,1.707825128,49,3.716981132,1.790760029,53
I250,Doctor 9,Person,Pixabay,3.67647058823529,1.1953852248376,102,4.10891089108911,1.49600127071477,101,I250,3.704545455,0.904241824,44,3.655172414,1.383508433,58,3.978723404,1.436925487,47,4.307692308,1.502135232,52
I818,Surgery 3,Person,Wikipedia,3.67592592592593,1.38637363107102,108,3.91346153846154,1.79053919808129,104,I818,3.526315789,1.415542086,57,3.843137255,1.347182972,51,3.387755102,1.668536366,49,4.381818182,1.779418435,55
I482,Lion 2,Animal,Flickr/Matt Reinbold,3.65686274509804,1.47919631670404,102,4.27722772277228,1.7556697404762,101,I482,3.590909091,1.187496523,44,3.706896552,1.675505901,58,4.106382979,1.563636266,47,4.480769231,1.8837841,52
I727,Shark 2,Animal,Pixabay,3.65686274509804,1.47919631670404,102,4.56435643564356,1.56470982347628,101,I727,3.733333333,1.629277587,45,3.589285714,1.372148756,56,4.530612245,1.659593836,49,4.596153846,1.485348251,52
I71,Bee 1,Animal,Wikipedia,3.64814814814815,1.4808106823333,108,3.61538461538462,1.7253545706098,104,I71,3.684210526,1.416205881,57,3.607843137,1.563053823,51,3.551020408,1.744768663,49,3.672727273,1.721912647,55
I85,Bored face 1,Person,Flickr,3.64814814814815,0.777184167481206,108,2.375,1.47593972039932,104,I85,3.649122807,0.876095805,57,3.647058824,0.657982657,51,2.183673469,1.409395104,49,2.545454545,1.525319418,55
I845,Toilet 2,Object,Pixabay,3.64814814814815,0.960089703897114,108,2.28846153846154,1.36298556448401,104,I845,3.771929825,1.052506258,57,3.509803922,0.833607798,51,2.367346939,1.364640941,49,2.218181818,1.370197459,55
I693,Sad face 6,Person,Pixabay,3.64356435643564,1.26161926440461,101,3.76470588235294,1.79204220351335,102,I693,3.75862069,1.288414568,58,3.488372093,1.22225578,43,3.591836735,1.813357468,49,3.942307692,1.786808542,52
I763,Sleepy pose 2,Person,Wikipedia,3.63725490196078,0.941761733191812,102,2.6039603960396,1.41477353608832,101,I763,3.704545455,0.904241824,44,3.586206897,0.973949866,58,2.489361702,1.333063494,47,2.692307692,1.515132319,52
I502,Monkey 3,Animal,All-free-download.com,3.62037037037037,1.22830779874577,108,3.56730769230769,1.69959688582593,104,I502,3.894736842,1.291237094,57,3.31372549,1.086097529,51,3.183673469,1.589987806,49,3.909090909,1.734964268,55
I652,Raccoon 1,Animal,Flickr/chad thomas,3.6039603960396,1.29675909806557,101,4.11650485436893,1.59841202370516,103,I652,3.672413793,1.289470598,58,3.511627907,1.316056393,43,4.102040816,1.61044634,49,4.132075472,1.617663746,53
I698,Sad pose 2,Person,Pixabay,3.59803921568627,0.987644501737968,102,3.28712871287129,1.51879316342527,101,I698,3.681818182,0.800369893,44,3.534482759,1.111589935,58,3.829787234,1.340330085,47,2.865384615,1.521465317,52
I730,Shark 5,Animal,Pixabay,3.59803921568627,1.42994705933692,102,4.44554455445545,1.68804767423644,101,I730,3.688888889,1.607118005,45,3.517857143,1.293214057,56,4.346938776,1.690056957,49,4.538461538,1.697305113,52
I408,Graveyard 3,Scene,Wikipedia,3.57843137254902,1.23028029093111,102,3.61386138613861,1.59355136114091,101,I408,3.422222222,1.137958477,45,3.75,1.254084237,56,3.489795918,1.582751415,49,3.730769231,1.610205012,52
I681,Roofing 4,Object,Pixabay,3.56862745098039,0.949307240081243,102,2.34653465346535,1.32238907712032,101,I681,3.727272727,0.694283514,44,3.448275862,1.095003225,58,2.553191489,1.282126471,47,2.173076923,1.353588605,52
I86,Bored pose 1,Person,Pixabay,3.55882352941176,1.06774055338452,102,2.92079207920792,1.44694967650455,101,I86,3.681818182,0.934425013,44,3.465517241,1.157970354,58,2.893617021,1.386801803,47,2.980769231,1.514510011,52
I110,Camping 8,Person,Pixabay,3.55882352941176,1.34660210013001,102,3.73267326732673,1.60555964765505,101,I110,3.533333333,1.159937302,45,3.625,1.459296219,56,3.469387755,1.696835791,49,3.980769231,1.488391481,52
