SUBJ,Name,Encode,Stim,Vcat,Acat,Vrate,Arate,Vrt,Art,Recall,Rrt,VrateOASIS,ArateOASIS
AMYR21PT05,Car crash 1,1,1,0,1,4,4,30.1933748479933,31.1442217961885,999,999,1.85294117647059,4.55445544554455
AMYR21PT05,Mother 6,1,0,1,1,7,7,5.5717774219811,15.8975830567069,999,999,6.07843137254902,4.44554455445545
AMYR21PT05,Happy pose 2,1,0,1,0,7,7,4.03690347401425,7.92367917811498,999,999,5.6078431372549,3.93069306930693
AMYR21PT05,Bored pose 4,1,0,0,0,2,2,11.8771675126627,15.9808006780222,999,999,3.12745098039216,3.01980198019802
AMYR21PT05,War 4,1,0,0,1,1,1,8.87451735232025,20.4514311044477,999,999,2.97058823529412,4.78217821782178
AMYR21PT05,Gazing 7,1,1,1,0,4,4,9.70859121298417,10.8929742388427,999,999,4.98039215686275,3.56435643564356
AMYR21PT05,Skydiving 2,1,1,1,1,6,5,5.20460010878742,16.3645019568503,999,999,5.33333333333333,4.6039603960396
AMYR21PT05,Sad pose 3,1,1,0,0,2,4,6.30557582573965,16.0975750000216,999,999,2.87037037037037,3.74038461538462
AMYR21PT05,Funeral 1,1,1,0,1,1,1,5.97195518715307,9.87540547829121,999,999,2.92156862745098,4.23762376237624
AMYR21PT05,Ambulance 2,1,0,0,0,2,2,7.44009894365445,11.1267014350742,999,999,3.17821782178218,3.41176470588235
AMYR21PT05,Fireworks 3,1,0,1,1,7,7,2.26867006532848,5.75508975237608,999,999,6.08823529411765,4.63366336633663
AMYR21PT05,Explosion 3,1,0,0,1,1,1,3.53647159971297,4.52067831298336,999,999,2.64814814814815,4.92307692307692
AMYR21PT05,Dancing 8,1,0,1,0,6,6,5.30469082621858,7.15633398713544,999,999,5.31372549019608,3.40594059405941
AMYR21PT05,Soldiers 7,1,1,0,1,1,1,6.47240140009671,7.13964523514733,999,999,2.61386138613861,4.07766990291262
AMYR21PT05,Destruction 7,1,1,0,0,2,2,3.70327018294483,4.55402359552681,999,999,2.00990099009901,3.85436893203884
AMYR21PT05,Camping 4,1,1,1,0,6,6,7.97372104786336,10.442571295891,999,999,5.65686274509804,3.22772277227723
AMYR21PT05,Parasailing 2,1,1,1,1,5,5,7.17301501287147,10.0255336519331,999,999,5.12871287128713,4.3495145631068
AMYR21PT05,Dancing 9,1,0,1,0,6,6,11.8104519871995,12.5611168956384,999,999,5.58415841584158,3.83495145631068
